Content ID,Reaction Type,Datetime,User ID,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,negative,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,negative,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,50
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,neutral,20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,negative,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,neutral,35
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,positive,75
